,Class
53,1
314,1
769,0
1037,0
1589,0
1103,0
1453,0
1180,1
268,0
1314,0
964,0
1190,0
134,1
954,0
2,1
281,1
298,1
299,1
400,1
403,1
478,1
861,1
865,1
959,1
960,1
1135,1
726,1
302,1
451,1
371,1
498,1
622,1
905,1
700,0
751,1
1552,0
840,1
910,1
1258,1
787,1
710,1
29,1
1009,1
1434,1
1245,1
1221,0
117,0
1291,1
1046,0
1113,0
1271,1
387,0
46,1
69,1
259,1
393,1
509,1
568,1
569,1
585,1
685,1
688,1
907,1
908,1
928,1
965,1
1100,1
1120,1
1132,1
1164,1
1175,1
1176,1
313,1
457,1
546,1
738,1
1491,1
555,0
1324,1
205,1
296,1
1179,1
1224,1
1238,1
1460,1
643,0
677,0
849,0
204,1
376,1
410,1
455,1
687,1
742,1
783,1
1043,1
1293,1
1187,1
852,1
1125,1
654,0
1115,0
1285,0
1573,0
1618,0
640,1
1040,1
1166,1
1483,0
1576,1
647,1
418,0
76,1
642,1
576,1
1075,1
892,0
564,0
1452,0
194,1
1253,1
1020,1
646,1
1375,1
1597,1
357,1
390,1
1123,1
1440,0
1379,1
1,1
18,1
300,1
401,1
864,1
744,1
650,0
658,0
1331,1
969,0
326,0
470,0
485,0
728,0
133,0
802,1
58,1
573,1
1511,0
648,1
236,1
239,0
1006,1
835,1
31,1
130,1
369,1
370,1
634,1
679,1
610,1
1202,1
331,1
1413,1
1494,0
325,1
723,1
168,1
788,1
1156,1
70,1
722,1
27,1
86,1
91,1
201,1
212,1
244,1
304,1
305,1
594,1
596,1
661,1
901,1
958,1
1042,1
1050,1
1080,1
1128,0
1321,1
1377,1
127,1
191,0
285,1
505,0
696,0
837,0
845,1
846,1
875,1
877,0
1005,0
1035,1
1449,0
1210,1
1177,0
1181,0
1373,0
1232,1
1518,0
409,0
1519,0
1015,0
897,0
160,1
169,1
253,1
1182,1
208,1
1458,0
1063,1
506,1
1014,1
1108,1
1474,0
735,1
747,1
1204,0
1532,1
15,1
1294,0
1067,1
500,0
580,0
870,0
996,0
199,1
1084,1
1308,1
686,1
1237,0
1507,0
931,1
1263,1
1443,1
1587,1
943,0
1196,0
1404,0
230,1
764,1
915,1
1070,1
1227,1
1477,1
33,1
353,0
221,1
791,1
933,1
47,1
932,1
812,1
484,1
619,1
657,1
918,1
1499,0
435,1
141,0
737,0
750,0
474,0
74,1
492,1
1229,1
433,0
1169,0
458,1
862,1
20,1
316,1
1151,1
264,1
265,1
480,1
1119,1
1188,1
1230,1
968,1
121,1
102,1
572,1
154,1
1193,1
28,1
8,1
82,1
111,1
217,1
363,1
514,1
515,1
691,1
848,1
854,1
886,1
887,1
888,1
948,1
1420,1
375,0
1060,0
1147,0
1471,0
1577,0
258,0
1097,0
1301,1
13,1
1163,1
1362,1
153,1
96,1
97,1
193,1
252,1
378,1
404,1
405,1
732,1
733,1
745,1
851,1
884,1
1284,1
1553,1
1424,1
1150,1
196,0
1296,1
1378,1
579,0
638,1
766,1
200,0
755,0
909,1
863,1
216,0
660,1
372,1
122,1
123,1
452,1
618,1
701,1
702,1
951,1
1313,1
707,1
291,0
1364,0
159,0
540,1
1538,0
1539,0
716,1
318,1
335,1
588,1
753,1
774,1
784,1
1066,1
1186,1
1241,0
690,1
119,1
1406,1
1055,1
352,1
1527,1
584,0
651,0
447,1
831,1
36,0
66,1
920,1
565,1
611,1
676,1
1239,1
1385,0
1583,1
592,1
697,1
876,1
1007,1
1222,1
1372,1
855,1
1064,1
547,1
1137,0
1217,0
1011,0
1280,1
934,1
896,0
1023,0
1004,0
881,1
1350,1
350,0
21,1
22,1
23,1
37,1
249,0
382,1
460,1
508,1
890,1
963,0
1019,1
1381,1
1074,1
994,1
310,1
438,0
587,0
816,1
59,1
328,1
606,1
986,1
1038,1
1288,1
1409,1
1591,1
477,1
1513,1
40,1
1560,0
1561,0
525,1
621,1
693,1
1419,1
54,1
166,1
255,1
271,1
346,0
441,0
442,1
644,0
682,1
720,1
754,1
982,1
1093,1
1144,1
1158,1
398,1
411,0
109,0
4,1
472,0
557,0
1185,0
1480,0
653,1
73,1
75,1
83,1
84,1
85,1
114,1
379,1
475,1
561,1
645,1
666,1
762,1
1111,1
966,0
967,1
456,1
30,0
698,1
163,1
504,1
1041,1
602,0
927,0
128,0
282,0
323,0
683,0
869,1
1582,1
1025,1
1451,0
904,1
912,1
1448,1
94,0
240,0
185,0
71,0
142,0
150,0
321,0
322,0
599,0
985,0
1213,0
1268,0
1502,0
595,1
1450,0
129,1
429,1
1393,1
1394,1
1338,0
98,1
103,0
104,1
136,0
277,1
332,1
425,1
426,1
437,1
1498,0
1579,1
805,0
65,0
124,1
137,1
172,0
269,1
354,0
414,0
415,0
497,1
536,1
545,1
607,0
636,1
711,0
725,0
872,1
970,0
1031,0
1057,0
1316,1
1318,1
1323,1
1387,0
1426,1
1455,0
1456,0
1466,0
503,1
1571,1
567,0
392,0
1206,0
822,1
1297,1
718,1
1262,1
11,1
241,0
257,0
290,0
833,0
834,0
871,0
1430,0
1469,0
1470,0
574,0
978,0
560,1
1515,0
213,1
245,1
250,0
467,0
605,0
251,1
501,1
1444,1
743,1
1049,1
358,1
662,1
1192,1
60,1
882,1
1087,1
1348,1
1423,1
1606,0
55,1
1572,0
1611,1
330,1
527,1
1039,1
1345,1
1346,1
777,0
1609,0
1114,0
181,1
182,1
183,1
482,1
486,1
487,1
522,1
874,1
1198,1
1053,1
1157,1
917,1
312,1
368,1
703,1
952,1
48,1
215,1
272,1
347,1
811,1
1191,0
635,1
704,1
950,1
953,1
1116,0
237,0
419,0
1068,1
724,1
694,1
1537,1
380,1
664,1
26,1
493,0
1092,0
1295,0
832,0
1099,0
1171,0
1172,0
1429,0
1405,0
247,1
1189,1
105,1
1556,0
709,1
906,1
1022,1
254,1
280,1
388,1
469,1
678,1
780,1
842,1
1047,1
1109,1
