,Class
853,1
874,1
902,1
906,0
915,0
920,0
927,0
937,1
948,1
950,1
966,0
967,0
994,0
1078,1
1079,1
1095,1
1100,1
1112,1
1116,1
1131,1
1133,1
1141,1
1143,1
1148,1
1169,1
1170,1
1172,1
1174,1
1229,0
1249,0
1250,0
1280,1
1283,1
451,0
210,0
352,1
523,0
383,0
1120,1
836,1
1193,0
704,0
1166,1
7,0
250,0
251,1
521,1
771,1
936,1
1242,1
1254,1
615,1
616,1
617,0
516,0
11,1
482,0
233,1
290,1
998,0
1003,0
577,1
1011,0
1033,0
1309,1
742,1
1037,0
471,1
472,1
473,1
474,1
475,1
476,1
422,1
1094,1
38,0
225,1
300,1
483,1
740,0
787,0
788,0
789,1
1074,1
1114,1
1044,0
1084,1
900,1
1111,1
1075,1
280,1
399,1
1049,0
739,1
743,0
744,1
1012,0
376,0
630,0
17,1
518,1
579,1
580,1
1191,0
1268,1
299,0
1104,1
46,0
147,0
868,0
674,0
969,0
971,0
973,0
