,Class
1340,0
530,1
2739,0
2762,0
2026,1
515,1
517,1
2079,1
709,1
1881,0
1887,1
896,0
1971,1
2163,0
1815,1
2732,0
2867,0
851,1
2451,0
468,0
2821,0
828,0
2457,1
474,0
2670,0
1048,1
1106,0
2199,1
1397,1
1877,0
518,1
898,1
1249,1
561,1
570,1
1937,1
86,1
87,1
88,1
732,1
967,0
969,0
970,0
971,1
1008,0
1081,1
1655,1
1657,1
1659,0
1662,1
270,1
2834,0
2858,1
394,0
1238,1
1721,1
690,1
123,1
613,1
2063,0
2526,0
686,1
2880,0
369,0
2631,0
443,0
1475,1
406,0
546,1
906,1
1479,0
1837,1
550,1
1342,1
1370,1
1653,1
1765,1
893,0
1245,0
1925,1
823,0
1173,0
357,0
2810,0
1017,1
1305,1
2534,1
819,0
965,0
784,0
2689,0
1569,1
1470,1
2833,0
2003,1
2532,1
2221,1
790,0
2799,0
441,0
2516,0
195,1
778,0
490,0
2856,0
1194,1
1018,1
1718,1
2043,1
2478,1
1419,0
1821,1
2157,1
813,0
1075,0
153,1
2309,1
1563,0
137,0
1458,1
1464,0
2849,0
1153,0
860,1
739,1
1030,0
1312,0
1390,1
2283,0
2414,0
1650,1
146,1
209,1
210,1
973,1
1805,0
1921,1
2156,1
2150,0
35,1
72,1
140,0
183,1
1043,0
1056,1
1126,0
1191,0
1211,1
1230,0
1456,1
1498,1
1600,1
1777,1
1992,1
1994,0
1995,0
2219,0
2268,1
2797,0
991,1
2334,0
1422,1
2825,0
527,1
556,1
566,1
578,1
2160,1
2638,0
1736,0
2058,1
2059,0
2060,0
968,0
1976,1
23,1
25,1
256,0
286,1
1452,1
1528,1
1649,1
1759,1
1842,1
1940,1
2082,1
940,1
1080,1
1961,1
753,1
957,0
2226,1
990,1
1137,1
1164,1
2496,1
533,1
2874,0
584,1
602,1
2708,0
1786,1
1320,1
1046,0
1399,0
2464,0
2085,1
2465,0
928,1
2610,0
2716,0
985,0
1585,1
1904,1
101,0
559,1
84,1
977,0
1670,1
662,1
1265,0
1084,1
1273,1
1248,1
434,0
1304,1
2361,1
1507,1
984,1
1363,1
89,1
972,1
1377,1
1593,0
1748,0
1665,1
1388,1
1574,1
359,0
392,0
2567,0
410,0
1814,1
565,1
592,1
2683,0
376,0
2831,0
950,0
806,0
1917,1
721,1
1103,0
1869,1
1578,1
1624,1
251,0
540,1
558,1
528,1
2034,1
2675,0
1280,0
2136,1
595,1
2656,0
2669,0
2115,1
66,1
1905,1
1631,0
1866,0
504,0
1281,0
2765,0
2596,0
1135,1
2687,0
1,0
2,1
3,0
4,1
5,0
6,1
7,1
8,1
9,1
95,0
96,0
97,0
98,0
117,0
119,0
121,0
122,0
128,0
132,0
175,1
185,1
186,0
190,1
191,0
192,0
203,0
208,0
223,1
244,0
246,0
250,1
255,0
273,1
294,1
300,0
301,0
305,0
306,0
309,0
312,0
361,0
447,0
494,0
638,1
639,1
640,1
653,1
676,1
704,0
715,1
729,1
730,1
737,1
741,0
745,1
760,0
764,0
765,0
789,0
792,1
837,0
870,0
909,0
913,0
922,1
937,0
938,0
949,0
961,1
974,1
975,0
1007,1
1010,0
1012,0
1013,0
1020,0
1028,0
1055,0
1065,0
1073,1
1087,1
1100,0
1105,0
1108,1
1109,1
1118,1
1133,1
1134,1
1158,0
1165,0
1244,0
1257,1
1309,0
1350,0
1352,0
1366,0
1396,1
1404,1
1411,1
1412,1
1413,1
1414,1
1415,0
1417,0
1418,0
1420,1
1427,0
1428,0
1447,1
1461,0
1516,1
1518,1
1520,1
1525,1
1555,0
1556,1
1589,0
1614,0
1616,0
1663,1
1664,1
1716,0
1734,0
1735,0
1746,0
1772,1
1781,0
1791,0
1794,0
1796,0
1797,0
1798,0
1800,1
1811,0
1812,0
1813,0
1820,0
1825,0
1826,0
1833,0
1860,1
1871,1
1939,0
1941,1
1989,0
1990,1
1997,0
2044,0
2049,0
2094,1
2095,1
2106,1
2124,0
2134,1
2138,1
2143,1
2162,0
2164,0
2165,0
2166,0
2168,0
2169,0
2173,0
2177,0
2205,1
2236,1
2264,0
2382,0
2389,0
2424,0
2434,0
2461,0
2470,1
2477,0
2480,0
2481,1
2488,0
2527,0
2573,0
2661,0
2847,1
2601,0
1785,1
2695,0
1266,1
232,1
2065,1
855,0
0,0
63,1
299,0
328,0
330,0
678,1
706,1
708,1
1711,1
1991,0
2146,1
2577,0
2580,0
2887,0
606,1
133,1
2045,1
953,1
69,1
1962,0
763,1
1196,1
1107,0
1625,0
1799,1
1179,0
599,1
630,1
722,1
939,0
1246,0
249,1
1617,0
1678,0
2644,0
2655,0
269,1
1261,1
1449,1
905,0
1220,0
1727,1
1085,1
386,0
537,1
989,1
514,1
930,0
2511,0
2604,0
547,1
553,1
562,1
563,1
356,0
1346,1
839,0
167,1
2436,1
659,1
661,1
2010,0
1166,0
1311,1
388,0
2190,0
2521,0
465,0
2822,0
54,1
253,0
1692,1
2084,0
2706,0
2753,0
521,1
2441,1
2546,0
2820,0
458,0
603,1
1513,1
196,1
371,0
2780,0
649,1
201,1
752,1
2211,1
1884,1
450,0
497,0
838,1
1222,0
1993,0
1432,1
1854,1
1423,1
2667,0
680,1
1920,1
283,1
1875,1
462,0
104,0
1504,1
979,1
2069,1
2369,1
1630,0
1632,0
2181,1
1495,1
2629,0
240,0
834,0
1167,0
2832,0
2839,0
2840,0
2105,1
1676,1
1680,1
1283,0
2686,0
2696,0
847,1
1545,1
373,0
420,0
2560,0
849,1
1548,1
2575,0
384,0
281,0
297,1
695,1
726,1
738,1
1297,1
1437,1
2359,1
2378,1
2444,1
2468,1
703,1
2788,0
543,1
1224,1
2231,1
600,1
623,1
134,1
2816,0
1439,1
2358,1
2466,1
2710,0
2600,0
324,0
455,0
1083,1
801,0
65,0
429,0
2032,0
1892,0
158,1
1116,0
818,0
1728,1
506,0
99,0
2807,0
2118,1
393,0
1072,1
47,0
2553,0
643,1
1776,1
1508,0
2311,0
1960,0
756,1
2112,0
343,0
142,1
1462,1
2682,0
1610,1
1910,1
2883,0
1622,0
1936,1
427,0
1946,1
1496,1
2072,1
259,1
626,1
22,1
1139,0
1333,1
1424,1
1667,1
1691,1
1831,1
2111,1
2224,1
2512,1
215,1
712,1
723,1
2613,0
2868,0
116,1
1034,1
617,1
2786,0
1764,1
2350,1
1132,0
1402,1
822,0
2485,1
2131,0
545,1
1229,0
1943,0
2763,0
710,1
728,1
772,1
1288,1
276,0
911,0
1801,0
1803,0
2718,0
350,0
395,1
1793,1
657,1
325,0
1120,0
2253,0
387,0
159,1
2446,1
1926,0
2517,0
1337,1
769,1
1016,1
1685,1
2723,0
1405,0
2198,0
2336,0
2158,1
202,1
1123,0
1621,0
697,1
1125,1
1897,0
757,0
2590,0
1161,0
2440,0
1247,1
1457,1
1529,1
841,1
842,1
1839,0
980,1
874,1
2795,0
46,1
2709,0
2720,0
2803,0
1183,0
894,1
718,1
2107,1
2542,0
2116,1
2790,0
2850,0
2730,0
1209,1
2030,0
2479,0
840,1
848,0
1543,1
1544,1
1546,1
1896,1
2086,0
2749,0
2767,0
2769,0
404,0
43,0
50,0
261,0
882,0
1090,1
1155,1
1355,0
1485,1
1517,0
1558,1
1615,1
1681,1
2458,0
2515,0
2559,0
2357,0
2735,0
500,0
1579,1
612,1
476,0
714,1
747,0
2372,0
436,0
2071,1
1136,1
781,0
2471,1
2665,0
608,1
2869,0
1911,0
1915,0
2678,0
1950,1
2674,0
1778,1
751,1
1876,1
1587,1
2425,1
2431,1
120,1
2811,0
1968,1
2145,0
2117,1
2853,0
68,1
1641,1
1792,1
53,1
1239,0
2841,0
16,1
17,1
480,0
1634,1
744,1
809,0
1057,1
1938,1
892,1
526,1
2589,0
962,1
963,1
1343,1
2217,1
2404,1
2443,1
2455,0
2064,1
2183,0
452,0
513,0
2731,0
912,0
1206,1
1656,1
1639,1
1580,0
1834,0
2460,1
2492,1
2493,1
2127,1
1977,1
1729,1
1299,0
2076,1
2789,0
850,0
2193,1
2643,0
1453,0
875,0
1307,0
2185,0
1324,0
1455,0
1515,1
135,1
180,1
520,1
432,0
2697,0
1096,0
2001,0
2327,0
1354,0
503,0
2054,1
1292,0
1674,1
529,1
534,1
554,1
2744,0
1086,1
1857,1
2760,0
1893,1
77,1
1398,0
313,0
959,0
2161,1
2685,0
2699,0
30,1
2148,1
679,1
1671,0
1391,1
1157,0
463,0
2637,0
589,1
216,1
1271,1
399,0
713,1
590,1
385,0
1687,1
1243,0
1744,1
567,1
986,1
1383,1
1951,1
618,1
2713,0
1394,0
796,1
2345,1
2476,0
52,0
118,1
227,0
869,0
1264,0
1492,0
1673,1
2110,1
2248,1
1463,0
611,1
1318,0
1301,0
1149,1
817,0
1093,0
36,1
2149,1
780,1
2155,1
28,0
750,1
887,1
2879,0
2036,1
542,1
833,0
919,0
2051,0
41,1
206,0
156,1
205,1
1882,1
83,1
1738,1
457,0
1092,1
798,1
1379,1
1489,1
2323,1
258,1
1628,1
908,0
934,1
1327,0
1359,0
1367,1
1410,1
1536,0
2605,0
464,0
1316,1
903,1
2704,0
454,0
1272,0
1287,0
579,1
1234,0
749,0
1303,0
1918,0
593,1
548,1
2602,0
1731,0
2495,0
631,1
2612,0
288,0
1225,1
683,1
242,1
786,1
1874,0
1197,0
794,1
800,0
1067,1
516,1
2592,0
162,1
163,1
279,0
1436,0
622,1
642,1
994,1
64,1
1550,1
886,1
916,1
992,1
1148,1
1804,0
329,0
335,0
109,0
24,0
1807,1
615,1
651,1
1302,1
1061,1
2337,1
417,0
2191,0
609,1
771,1
1480,0
1966,0
2269,1
2519,0
366,0
1025,0
2483,0
362,0
2812,0
1347,1
1888,1
1169,0
1942,0
157,0
2137,1
691,1
700,1
1003,0
1231,1
1368,1
1215,0
2860,1
2021,1
535,1
1071,0
1900,0
2066,1
658,1
951,0
1315,0
1143,1
2006,0
1880,0
184,1
845,1
2544,1
238,0
1749,0
510,0
2829,0
1216,0
1314,0
674,1
2672,0
1059,0
412,0
445,0
459,0
519,1
1784,0
1269,1
2220,1
1903,1
824,0
1698,0
2100,1
2159,0
2417,1
27,1
1710,1
1682,1
1788,1
1928,1
2074,1
2126,1
2316,1
1212,1
770,1
1451,1
107,1
131,0
1267,1
2089,1
2537,1
2608,0
1002,1
78,1
2435,1
2778,0
241,1
435,0
1160,1
945,0
2087,1
1338,0
2142,0
1026,0
2547,0
2549,0
1916,0
1382,0
2828,0
2642,0
1790,1
1062,1
2448,0
720,1
952,1
1642,1
1810,1
2314,1
1054,0
1945,0
2246,0
748,0
1535,0
560,1
1789,0
1730,1
2597,0
1549,1
868,1
904,1
1291,1
1403,1
1964,1
1841,1
2013,0
1365,0
2698,0
735,1
2075,1
148,1
2502,1
1957,1
2403,1
338,0
1154,1
1357,1
2119,1
481,0
317,0
461,0
32,0
1201,1
844,1
1443,0
2242,1
1598,1
902,1
166,0
687,1
1590,1
768,0
108,0
473,0
2681,0
1511,1
